City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Pelym,RU,2020-10-30 23:32:20,61.01,62.0,30.09,96,79,6.96
278,Pangoa,PE,2020-10-30 23:32:20,-12.12,-73.0,67.87,93,98,2.48
279,Leningradskiy,RU,2020-10-30 23:32:21,69.38,178.42,18.72,94,62,19.24
280,Brunico,IT,2020-10-30 23:32:21,46.8,11.94,48.0,81,37,1.48
281,Guayanilla,PR,2020-10-30 23:32:22,18.02,-66.79,82.0,96,86,3.0
282,Tiarei,PF,2020-10-30 23:32:22,-17.53,-149.33,84.2,62,75,13.87
283,Tiksi,RU,2020-10-30 23:32:22,71.69,128.87,8.17,95,100,4.94
284,Astoria,US,2020-10-30 23:32:22,46.19,-123.83,57.0,66,1,11.41
285,Correntina,BR,2020-10-30 23:32:22,-13.34,-44.64,74.26,76,83,3.06
286,Vung Tau,VN,2020-10-30 23:30:07,10.35,107.08,79.63,84,30,9.75
287,Ngunguru,NZ,2020-10-30 23:32:23,-35.62,174.5,75.99,70,50,11.99
288,Clemmons,US,2020-10-30 23:32:23,36.02,-80.38,53.6,50,1,10.29
289,Baoro,CF,2020-10-30 23:32:24,5.67,15.97,68.5,92,75,2.75
290,Toba Tek Singh,PK,2020-10-30 23:32:24,30.97,72.48,63.36,28,0,3.65
291,Killybegs,IE,2020-10-30 23:32:24,54.63,-8.45,46.0,92,96,11.99
292,Teknaf,BD,2020-10-30 23:32:24,20.86,92.31,76.95,86,63,4.92
293,Lompoc,US,2020-10-30 23:27:28,34.64,-120.46,66.99,72,1,14.99
294,Aswan,EG,2020-10-30 23:32:25,24.09,32.91,74.16,44,0,4.21
295,Axim,GH,2020-10-30 23:32:25,4.87,-2.24,77.81,86,64,5.3
296,Bosaso,SO,2020-10-30 23:32:25,11.28,49.18,79.93,72,74,3.8
297,Bathsheba,BB,2020-10-30 23:32:26,13.22,-59.52,82.4,78,40,21.92
298,Tuatapere,NZ,2020-10-30 23:32:26,-46.13,167.68,54.0,98,100,11.99
299,Pogana,RO,2020-10-30 23:32:26,46.32,27.57,46.4,87,70,3.36
300,Mattru,SL,2020-10-30 23:32:26,7.62,-11.83,74.7,97,59,2.84
301,Bambous Virieux,MU,2020-10-30 23:30:36,-20.34,57.76,68.0,56,40,17.22
302,Anadyr,RU,2020-10-30 23:32:27,64.75,177.48,5.0,84,20,6.71
303,Kargil,IN,2020-10-30 23:32:27,34.57,76.1,23.34,81,1,0.4
